date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:35	27895/27895	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2011:18:31%20GMT	https://www.inpixio.com/change-background/	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/change-background/index.html	(from )
16:48:35	215/215	---M-Z	200	added ('OK')	text/plain	etag:%221ef-5fc93bf7242f9-gzip%22	https://www.inpixio.com/robots.txt		(from )
16:48:36	1937/1937	---M-Z	200	added ('OK')	text/css	etag:%22791-5ebef35731980-gzip%22	https://www.inpixio.com/static/lp/photostudio/EN/mb/fontello/css/fontello.css	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/static/lp/photostudio/EN/mb/fontello/css/fontello.css	(from https://www.inpixio.com/change-background/)
16:48:37	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-5ebef354552c0-gzip%22	https://www.inpixio.com/static/lp/photostudio/EN/mb/owl-carousel/owl.carousel.min.css	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/static/lp/photostudio/EN/mb/owl-carousel/owl.carousel.min.css	(from https://www.inpixio.com/change-background/)
16:48:37	47540/47540	---M-Z	200	added ('OK')	text/css	etag:%22b9b4-5f9afd8994c13-gzip%22	https://www.inpixio.com/remove-background/css/newback.css	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/remove-background/css/newback.css	(from https://www.inpixio.com/change-background/)
16:48:38	6898/6898	---M-Z	200	added ('OK')	application/x-javascript	etag:%221af2-60bebeb1e8741-gzip%22	https://www.inpixio.com/remove-background/scripts.js	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/remove-background/scripts.js	(from https://www.inpixio.com/change-background/)
16:48:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2010%20Feb%202024%2011:18:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.googletagmanager.com/gtm.45445.delayed	(from https://www.inpixio.com/change-background/)
16:48:39	67350/67350	---M-Z	200	added ('OK')	application/javascript	etag:%2283e68c85a5bda1:0%22	https://avqtools.avanquest.com/js/v3/inpixio.com.min.js	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/avqtools.avanquest.com/js/v3/inpixio.com.min.js	(from https://www.inpixio.com/change-background/)
16:48:39	444158/444158	---M--	200	added ('OK')	image/png	etag:%226c6fe-5f86e7f908e66%22	https://www.inpixio.com/remove-background/images/change/banner.png	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/remove-background/images/change/banner.png	(from https://www.inpixio.com/change-background/)
16:48:40	3006/3006	---M--	200	added ('OK')	image/jpeg	etag:%22bbe-5ee99bce3b580%22	https://www.inpixio.com/remove-background/images/new/example-portrait.jpg	C:/Users/Sanvi%20Sardana/Downloads/FLOWER/www.inpixio.com/remove-background/images/new/example-portrait.jpg	(from https://www.inpixio.com/change-background/)
